model,tau,accuracy,coverage,fallback_count
TF-IDF+LR,0.0,0.9574,1.0,0
TF-IDF+LR,0.5,0.9574,0.9934,2
TF-IDF+LR,0.55,0.9574,0.9803,6
TF-IDF+LR,0.6,0.9541,0.9639,11
TF-IDF+LR,0.65,0.9508,0.9508,15
TF-IDF+LR,0.7,0.9443,0.9311,21
TF-IDF+LR,0.75,0.9344,0.9049,29
TF-IDF+LR,0.8,0.9344,0.8852,35
TF-IDF+LR,0.85,0.918,0.8164,56
TF-IDF+LR,0.9,0.9115,0.7574,74
TF-IDF+LR,0.95,0.8951,0.6295,113
Emb+LR,0.0,0.9607,1.0,0
Emb+LR,0.5,0.9607,0.9869,4
Emb+LR,0.55,0.9574,0.9672,10
Emb+LR,0.6,0.9574,0.9377,19
Emb+LR,0.65,0.9443,0.9115,27
Emb+LR,0.7,0.9443,0.9049,29
Emb+LR,0.75,0.941,0.8787,37
Emb+LR,0.8,0.9344,0.8492,46
Emb+LR,0.85,0.9082,0.7705,70
Emb+LR,0.9,0.8951,0.7115,88
Emb+LR,0.95,0.859,0.5934,124
Ensemble,0.0,0.9574,1.0,0
Ensemble,0.5,0.9607,0.9934,2
Ensemble,0.55,0.9574,0.9869,4
Ensemble,0.6,0.9541,0.977,7
Ensemble,0.65,0.9541,0.9574,13
Ensemble,0.7,0.9541,0.9213,24
Ensemble,0.75,0.9508,0.8787,37
Ensemble,0.8,0.9344,0.8361,50
Ensemble,0.85,0.9115,0.7705,70
Ensemble,0.9,0.8918,0.682,97
Ensemble,0.95,0.8656,0.5705,131
TF-IDF+SVM,0.0,0.9639,1.0,0
